"Transport-
datum";"Genehmigungs-
inhaber";Beförderer;Absender;Land;Empfänger;Land;Inhalt;"An-
zahl";"radio-
aktiver
Stoff 1";"Masse
in g";Exponent;"radio-
aktiver
Stoff 2";"Masse
in g";Exponent;Versandstück
22.07.1999;NCS;Sommer u. Grotke;Cogema/F;F;ANF Lingen;D;UF6 ang.;;U-235;77000;;;;;USA/9196/AF
27.07.1999;RSB Logistic;Kieserling;ANF Lingen;D;Urenco/D;D;"UF6 ""heels""";;U-235;1146;;;;;GB/3518A/AF-85
27.07.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
28.07.1999;NCS;NCS;FH Hamburg;D;BfS;D;Brennstoffplatten;3;U-235;749;;;;;D/7671/X-85
29.07.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;319088;;;;;USA/9196/AF
30.07.1999;RSB Logistic;Kieserling,BLG,ACL;Urenco/NL;NL;ABB Atom Schweden;S;UF6 ang.;;U-235;308000;;;;;USA/9196/AF
02.08.1999;NCS;NCS;ANF Lingen;D;KKW Blayais/F;F;BE;12;U-235;240000;;;;;F/269/AF
06.08.1999;NCS;ACL,NCS,BLG;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;300000;;;;;USA/9217/AF
09.08.1999;NCS;NCS;ANF Lingen;D;KKW Blayais/F;F;BE;14;U-235;280000;;;;;F/285/F
10.08.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
12.08.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
13.08.1999;RSB Logistic;Sommer u. Grotke,FAG;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;2500;;;;;USA/9217/AF
16.08.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;48;;;;;20' Container
16.08.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;4455;;;;;Stahlfaß
16.08.1999;RSB Logistic;Sommer u. Grotke;ANF Lingen;D;KKE;D;BE;8;U-235;181680;;;;;D/4292/AF-85
17.08.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
19.08.1999;RSB Logistic;Sommer u. Grotke;ANF Lingen;D;KKE;D;BE;8;U-235;181680;;;;;D/4292/AF-85
19.08.1999;RSB Logistic;Kieserling;ANF Lingen;D;FBFC/B;B;BSt.;1200;U-235;142800;;;;;D/4172/AF-85
23.08.1999;NCS;NCS;ANF Lingen;D;KKW Chinon/F;F;BE;14;U-235;280000;;;;;F/285/F
24.08.1999;RSB Logistic;Sommer u. Grotke;ANF Lingen;D;KKE;D;BE;8;U-235;181680;;;;;D/4292/AF-85
27.08.1999;Transnucleaire/Paris;Thomsen,ACL;Urenco/NL;NL;ABB Atom Schweden;S;UF6 ang.;;U-235;458200;;;;;USA/9196/AF
30.08.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;189;;;;;20' Container
30.08.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Kalkschlamm;;U-235;1047;;;;;Safrap Typ CI-25
02.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKS;D;BE;8;U-235;135040;;;;;D/4046/AF-85
02.09.1999;RSB Logistic;S.A. Transrad N.V.;Cerca/F;F;FZ Jülich;D;U-Targets;248;U-235;992;;;;;F/313/B(U)F-85 Df
03.09.1999;NCS;NCS,BLG,ACL;Urenco/D;D;West/USA;USA;UF6 ang.;;U-235;265153;;;;;USA/9196/AF
03.09.1999;NCS;ACL;BNFL/GB;GB;IFE/N;N;BSt. MOX;1;;;;Pu-fis;17;;GB/2816E/B(U)F
06.09.1999;NCS;NCS;ANF Lingen;D;KKW Chinon/F;F;BE;12;U-235;240000;;;;;F/269/AF
07.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKS;D;BE;4;U-235;67520;;;;;D/4046/AF-85
07.09.1999;NCS;NCS;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
09.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKS;D;BE;8;U-235;135040;;;;;D/4205/AF-85
14.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKS;D;BE;8;U-235;135040;;;;;D/4046/AF-85
15.09.1999;RSB logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
16.09.1999;RSB Logistic;Kieserling;Siemens Erlangen;D;ANF Lingen;D;UO2 Grünlinge, Pell.;;U-235;12000;;;;;D/4095/AF-85
17.09.1999;RSB Logistic;Kieserling,ACL,BLG;Urenco/NL;NL;Gen. Elect. Co./USA;USA;UF6 ang.;;U-235;231000;;;;;USA/9196/AF
20.09.1999;NCS;NCS;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/4909/AF
21.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKP;D;BE;24;U-235;240720;;;;;D/4172/AF-85
21.09.1999;NCS;NCS;ANF Lingen;D;KKW Chinon/F;F;BE;14;U-235;280000;;;;;F/285/F
21.09.1999;NCS;NCS,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;7400;;;;;D/4305/AF-85
22.09.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;385000;;;;;USA/9196/AF
22.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKS;D;BE;8;U-235;135040;;;;;D/4205/AF-85
23.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKP;D;BE;30;U-235;300900;;;;;D/4172/AF-85
24.09.1999;Transnucleaire/Paris;ACL;Eurodif/F;F;ABB Atom Schweden;S;UF6 ang.;;U-235;359739;;;;;D/7670/X-85
27.09.1999;RSB Logistic;Kieserling,Aspol;Techsnabexport/RUS;RUS;ANF Lingen;D;UF6 ang.;;U-235;770000;;;;;USA/4909/AF
28.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKS;D;BE;8;U-235;135040;;;;;D/4046/AF-85
29.09.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKP;D;BE;34;U-235;341020;;;;;D/4172/AF-85
02.10.1999;NCS;NCS,Transkem,ACL,BLG;Urenco/D;D;West/USA;USA;UF6 ang.;;U-235;396391;;;;;USA/4909/AF
04.10.1999;NCS;NCS;FBFC/B;B;KKI;D;BE MOX;4;;;;Pu-fis;131000;;D/4174/B(M)F-85
05.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;BNFL/GB;GB;"UF6 ""heels""";;U-235;7640;;;;;GB/3518A/AF-85
07.10.1999;NCS;NCS;FBFC/B;B;KKI;D;BE MOX;4;;;;Pu-fis;131000;;D/4174/B(M)F-85
10.10.1999;RSB Logistic;Aspol,Kieserling;Techsnabexport/RUS;RUS;ANF Lingen;D;UF6 ang.;;U-235;2079000;;;;;USA/4909/AF
10.10.1999;RSB Logistic;Aspol,Hanjin,Eurokai;Techsnabexport/RUS;RUS;KEPCO/ROK;ROK;UF6 ang.;;U-235;770000;;;;;USA/9196/AF
11.10.1999;NCS;NCS;Urenco/NL;NL;Urenco/D;D;UF6 ang.;;U-235;308000;;;;;USA/9196/AF
12.10.1999;NCS;NCS;Urenco/GB;GB;Urenco/D;D;UF6 ang.;;U-235;154000;;;;;USA/9196/AF
12.10.1999;NCS;Transkem;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
12.10.1999;NCS;NCS;FBFC/B;B;KKI;D;BE MOX;4;U-235;;;Pu-fis;131000;;D/4174/B(M)F-85
14.10.1999;NCS;Transkem;Eurodif/F;F;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
15.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;Urenco/D;D;"UF6 ""heels""";;U-235;5730;;;;;GB/3518A/AF-85
18.10.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;210;;;;;20' Container
18.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;30;U-235;300900;;;;;D/4172/AF-85
18.10.1999;NCS;NCS;FBFC/B;B;KKI;D;BE MOX;4;;;;Pu-fis;131000;;D/4174/B(M)F-85
19.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;12;U-235;283200;;;;;D/4300/AF-85
19.10.1999;NCS;NCS,Transkem;ABB Atom Schweden;S;KKI;D;BE;32;U-235;262400;;;;;D/4289/AF-85
20.10.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
20.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;28;U-235;280840;;;;;D/4172/AF-85
22.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;12;U-235;283200;;;;;D/4300/AF-85
22.10.1999;RSB Logistic;Hanjin;Eurodif/F;F;KNFC/ROK;ROK;UF6 ang.;;U-235;539000;;;;;USA/4909/AF
25.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;30;U-235;300900;;;;;D/4172/AF-85
26.10.1999;NCS;NCS;ANF Lingen;D;Eurodif/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
26.10.1999;NCS;Transkem,NCS;ABB Atom Schweden;S;KKI;D;BE;32;U-235;262400;;;;;D/4289/AF-85
27.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;12;U-235;283200;;;;;D/4300/AF-85
27.10.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;28;U-235;280840;;;;;D/4172/AF-85
28.10.1999;NCS;NCS,Transkem;Eurodif/F;F;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
28.10.1999;NCS;NCS,Transkem;ABB Atom Schweden;S;KKI;D;BE;16;U-235;131200;;;;;D/4289/AF-85
02.11.1999;RSB Logistic;Hanjin;Urenco/NL;NL;KEPCO/ROK;ROK;UF6 ang.;;U-235;539000;;;;;USA/4909/AF
02.11.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;12;U-235;283200;;;;;D/4300/AF-85
02.11.1999;NCS;NCS;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
02.11.1999;NCS;NCS;FBFC/B;B;KRB;D;BE MOX;16;;;;Pu-fis;102400;;D/7676/X-85
04.11.1999;NCS;NCS;Eurodif/F;F;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
05.11.1999;NCS;NCS,ACL,BLG;Urenco/D;D;ABB Combustion/USA;USA;UF6 ang.;;U-235;205869;;;;;USA/9196/AF
09.11.1999;NCS;NCS;FBFC/B;B;KRB;D;BE MOX;16;;;;Pu-fis;102400;;D/7676/X-85
10.11.1999;RSB Logistic;Kieserling;ANF Lingen;D;Urenco/D;D;"UF6 ""heels""";;U-235;2404;;;;;GB/3518A/AF-85
10.11.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;231000;;;;;USA/9196/AF
16.11.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;4;U-235;94400;;;;;D/4300/AF-85
17.11.1999;NCS;NCS;FBFC/B;B;KRB;D;BE MOX;16;;;;Pu-fis;102400;;D/7676/X-85
23.11.1999;NCS;Transkem,NCS;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
23.11.1999;NCS;NCS,Scandlines;ABB Atom Schweden;S;KWG;D;BE;16;U-235;176000;;;;;D/4327/AF-85
24.11.1999;NCS;NCS;FBFC/B;B;KRB;D;BE MOX;16;;;;Pu-fis;102400;;D/7676/X-85
25.11.1999;NCS;NCS;Eurodif/F;F;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
26.11.1999;NCS;NCS,ACL,BLG;Urenco/D;D;SNPC/USA;USA;UF6 ang.;;U-235;406000;;;;;USA/4909/AF
26.11.1999;RSB Logistic;Kieserling,ACL,BLG;ANF Lingen;D;SNPC/USA;USA;kontam. Reststoffe;;U-235;1500;;;;;40' Container
27.11.1999;RSB Logistic;Sommer u. Grotke,DLH;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;300000;;;;;USA/9217/AF
29.11.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;586;;;;;20' Container
29.11.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Kalkschlamm;;U-235;854;;;;;Safrap Typ CI-20
30.11.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;30;U-235;300900;;;;;D/4172/AF-85
01.12.1999;NCS;Sommer u. Grotke;ABB Atom Schweden;S;KKI;D;BE;32;U-235;262400;;;;;D/4289/AF-85
02.12.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;30;U-235;300900;;;;;D/4172/AF-85
06.12.1999;NCS;NCS;FBFC/B;B;KKI;D;BE MOX;4;;0;;Pu-fis;131000;;D/4174/B(M)F-85
07.12.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;24;U-235;240720;;;;;D/4172/AF-85
07.12.1999;NCS;NCS, Scandlines;ABB Atom Schweden;S;KWG;D;BE;16;U-235;352000;;;;;D/4327/AF-85
08.12.1999;RSB Logistic;Kieserling,FAG,DLH;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;324000;;;;;USA/9217/AF
08.12.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
08.12.1999;NCS;Sommer u. Grotke,NCS;ABB Atom Schweden;S;KKI;D;BE;32;U-235;262400;;;;;D/4289/AF-85
09.12.1999;NCS;NCS;CNEIC/CN;CN;ANF Lingen;D;UF6 ang.;;U-235;304700;;;;;USA/9196/AF
09.12.1999;NCS;NCS;FBFC/B;B;KKI;D;BE MOX;4;;;;Pu-fis;131000;;D/4310/B(M)F-85
10.12.1999;Siemens AG;Birkart,Scandlines;Studsvik Radwaste AB;S;Siemens AG;D;kontam. Reststoffe;;U-235;43;;;;;20' Container
13.12.1999;NCS;NCS;FBFC/B;B;KKI 2;D;BE MOX;4;U-235;;;Pu-fis;131;3;D/4174/B(M)F-85
14.12.1999;NCS;Sommer u. Grotke,NCS;BNF/GB;GB;ANF Lingen;D;UF6 ang.;;U-235;1001000;;;;;USA/9196/AF
14.12.1999;NCS;Scanlines/NCS,Transk;ABB Atom/S;S;KKI;D;BE;16;U-235;131200;;;;;D/4289/AF-85
15.12.1999;RSB Logistic;LH/Kieserling;SPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;384;3;;;;D/5344/AF
15.12.1999;NCS;NCS;ITU Leopoldshafen;D;CEA/F;F;BSt. MOX;9;U-235;;;Pu-fis;300;;F/264/B(U)F
15.12.1999;TNP/F;Transport Celestin/F;ITU/D;D;OECD Halden/N;N;BSt. MOX;12;U-235;;;Pu-Fis;1542;-1;D/5350/B(U)F
16.12.1999;NCS;Sommer u. Grotke;Urenco/D;D;BNFL/GB;GB;UF6 ang.;;U-235;263015;;;;;USA/9196/AF
16.12.1999;NCS;Scanlines/NCS;ABB Atom Schweden;S;KWG;D;BE;4;U-235;88;3;;;;D/4327/AF-85
16.12.1999;NCS;NCS;FBFC/B;B;KKI 2;D;BE MOX;4;U-235;;;Pu-fis;131;3;D/4310/B(M)F-85
19.12.1999;NCS;Scanlines/NCS,Transk;KWG;D;ABB Atom Schweden;S;BE;1;U-235;22;3;;;;D/4327/AF-85
20.12.1999;NCS;NCS;FBFC/B;B;KRB;D;BE MOX;8;U-235;;;Pu-fis;51200;;D/7676/x-85
21.12.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;D/5307/AF
22.12.1999;RSB Logistic;LH/Kieserling;SPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;600;3;;;;D/5344/AF
27.12.1999;RSB Logistic;LH/Sommer u. Grotke;SPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;600;3;;;;D/5344/AF
28.12.1999;NCS;Scanlines/NCS,Transk;ABB Atom Schweden;S;KWG;D;BE;1;U-235;22;3;;;;D/4327/AF-85
